stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 1,Logon_PB,0.7348,0.8876,0.8828,0.8453,0.004999399185180664,24
Stage 2,Deploy_malware,0.5882,0.8873,0.8858,0.3572,0.004971027374267578,24
Stage 3,Connect_NEF,0.7382,0.8758,0.8926,0.8616,0.004996776580810547,24
Stage 2,Query_SMF,0.7283,0.8834,0.8802,0.8367,0.004513978958129883,24
Stage 3,Connect_PCF,0.7292,0.8766,0.8911,0.8333,0.004998445510864258,24
Stage 3,Connect_C2,0.4687,0.3818,0.8933,0.873,0.004079103469848633,24
Stage 3,Create_GTP,0.7339,0.8735,0.8921,0.8517,0.004999399185180664,24
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7116,0.8674,0.8889,0.7944,0.003999948501586914,24
Stage 1,"Authentication,SystemUseNotPB",0.7289,0.8871,0.8791,0.8331,0.003999948501586914,24
Stage 1,Authentication,0.7342,0.8876,0.8824,0.8438,0.004999637603759766,24
Stage 3,"Exfiltrating_data,goal_node",0.2568,0.6679,0.9284,0.8919,0.003999948501586914,25
Stage 3,goal_node,0.7524,0.6676,0.6823,0.7493,0.004000425338745117,26
Stage 3,"Launch_Agent,goal_node",0.2598,0.9251,0.6825,0.9174,0.005001068115234375,27
Stage 3,Connect_UPF,0.7267,0.8674,0.8915,0.8406,0.0039997100830078125,27
Stage 3,"Launch_Agent,goal_node",0.2596,0.9252,0.6822,0.9174,0.003999471664428711,28
Stage 2,Query_SMF,0.7283,0.8834,0.8801,0.8369,0.004000425338745117,28
Stage 1,Logon_PB,0.7349,0.8877,0.8828,0.8456,0.003999471664428711,28
Stage 3,goal_node,0.7523,0.668,0.682,0.7495,0.004000186920166016,29
Stage 2,Portable_Execution,0.4576,0.8889,0.3599,0.8707,0.004999399185180664,29
Stage 3,"Connect_UPF,Create_GTP,Connect_UE",0.7267,0.8674,0.8914,0.8407,0.004022121429443359,29
Stage 3,Connect_UE,0.7381,0.8772,0.8924,0.8586,0.004999876022338867,29
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7364,0.8675,0.8931,0.8702,0.004000663757324219,29
Stage 3,Create_GTP,0.7338,0.8736,0.8921,0.8519,0.00500035285949707,29
Stage 3,"Launch_Agent,goal_node",0.2594,0.9252,0.6821,0.9175,0.004000425338745117,30
Stage 3,Connect_NEF,0.7382,0.876,0.8926,0.8619,0.004000425338745117,30
Stage 3,"Query_SMF,Connect_NRF,Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.736,0.8675,0.8803,0.8916,0.0039997100830078125,30
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP",0.7274,0.8675,0.8915,0.8427,0.003999948501586914,30
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP",0.7274,0.8676,0.8915,0.8428,0.0039997100830078125,30
Stage 3,Launch_Agent,0.2593,0.8893,0.8936,0.8779,0.003999471664428711,30
Stage 3,"Exfiltrating_data,goal_node",0.2567,0.6683,0.9283,0.8922,0.0040018558502197266,31
Stage 3,goal_node,0.7523,0.668,0.6819,0.7498,0.0039997100830078125,32
Stage 2,Portable_Execution,0.4584,0.8889,0.3609,0.8708,0.003995418548583984,32
Stage 3,"Launch_Agent,goal_node",0.2598,0.9252,0.682,0.9175,0.00500035285949707,33
Stage 3,Create_GTP,0.7338,0.8736,0.8919,0.8521,0.003999471664428711,33
Stage 3,Launch_Agent,0.2597,0.8893,0.8935,0.8779,0.004000186920166016,33
Stage 3,"Connect_C2,Rule_based_MPB",0.37,0.2039,0.893,0.8734,0.00500035285949707,33
Stage 3,"Connect_NRF,Connect_PCF",0.7029,0.8791,0.8863,0.7513,0.003999471664428711,33
Stage 1,SystemUseNotPB,0.7288,0.8872,0.8789,0.8334,0.004000186920166016,33
Stage 2,"Authentication,SystemUseNotPB,Access_Server,Query_SMF",0.7176,0.8837,0.8729,0.8136,0.0039997100830078125,33
Stage 2,Config_PB,0.5442,0.8875,0.889,0.2107,0.004998207092285156,33
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7366,0.8677,0.8929,0.8705,0.004999399185180664,33
Stage 3,goal_node,0.7524,0.6683,0.6817,0.75,0.004000663757324219,34
Stage 2,Query_SMF,0.7284,0.8836,0.8801,0.8372,0.003999471664428711,34
Stage 1,Authentication,0.7342,0.8878,0.8823,0.8443,0.003999948501586914,34
Stage 2,Portable_Execution,0.4592,0.8891,0.3618,0.871,0.0039997100830078125,34
Stage 1,Access_Server,0.7192,0.8863,0.8731,0.8138,0.003999471664428711,34
Stage 3,"Launch_Agent,goal_node",0.2602,0.9253,0.6819,0.9176,0.003999471664428711,35
Stage 2,Connect_NRF,0.7039,0.881,0.8864,0.7514,0.003999471664428711,35
Stage 3,"Connect_UPF,Create_GTP",0.7269,0.8677,0.8913,0.8411,0.004972934722900391,35
Stage 3,Connect_UPF,0.7269,0.8678,0.8913,0.8412,0.004029273986816406,35
Stage 3,"Connect_PCF,Connect_UPF",0.7275,0.8678,0.8914,0.843,0.003999471664428711,35
Stage 3,Connect_PCF,0.7294,0.877,0.8909,0.8339,0.003998994827270508,35
Stage 2,"Access_Server,Query_SMF",0.7178,0.8838,0.873,0.8139,0.0029990673065185547,35
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7117,0.8678,0.8888,0.7949,0.003998279571533203,35
Stage 3,Rule_based_MPB,0.3704,0.2047,0.8933,0.877,0.004026889801025391,35
Stage 3,"Connect_UPF,Create_GTP",0.7271,0.8679,0.8913,0.8413,0.0039997100830078125,35
Stage 3,"Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7363,0.8679,0.8804,0.8918,0.004031658172607422,35
Stage 3,Connect_C2,0.4695,0.3837,0.8931,0.8737,0.003998756408691406,35
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7369,0.868,0.893,0.8708,0.005001068115234375,35
Stage 2,"Portable_Execution,Agent_based_MPB",0.3724,0.8892,0.2025,0.8712,0.003999948501586914,35
Stage 3,"Launch_Agent,goal_node",0.26,0.9254,0.6816,0.9178,0.0040018558502197266,36
Stage 1,"Authentication,SystemUseNotPB,Access_Server",0.7194,0.8865,0.8731,0.814,0.003999233245849609,36
Stage 2,Config_PB,0.5445,0.8878,0.8891,0.2115,0.003998756408691406,36
Stage 3,Launch_Agent,0.2598,0.8896,0.8935,0.8783,0.0049991607666015625,36
Stage 3,Connect_UE,0.7386,0.8777,0.8922,0.8592,0.003999471664428711,36
Stage 3,"Create_GTP,Connect_UE",0.7343,0.8741,0.8919,0.8525,0.004007577896118164,36
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.712,0.8681,0.8887,0.7951,0.003999948501586914,36
Stage 3,Connect_C2,0.47,0.3845,0.893,0.8738,0.003998517990112305,36
Stage 3,Connect_C2,0.4705,0.3852,0.8931,0.8739,0.003999948501586914,36
